test_id,fault_type,severity,payload_type,input,expected,success_criteria
ADV020,crypto_subversion,extreme,crypto,iv_reuse,survived,state_unchanged=true
ADV021,supply_chain_attack,extreme,package,malicious_dependency,survived,state_unchanged=true
ADV022,supply_chain_attack,extreme,package,insecure_registry,survived,state_unchanged=true
ADV023,supply_chain_attack,extreme,package,self_injection,survived,state_unchanged=true
ADV024,supply_chain_attack,extreme,package,signed_update_bypass,survived,state_unchanged=true
ADV025,supply_chain_attack,extreme,container,container_injection,survived,state_unchanged=true
ADV026,supply_chain_attack,extreme,container,image_layer_tampering,survived,state_unchanged=true
ADV027,supply_chain_attack,extreme,hardware,side_channel_hardware,survived,state_unchanged=true
ADV028,supply_chain_attack,extreme,hardware,fpga_manipulation,survived,state_unchanged=true
ADV029,supply_chain_attack,extreme,build,build_time_injection,survived,state_unchanged=true
ADV030,supply_chain_attack,extreme,build,artifact_signing_bypass,survived,state_unchanged=true
ADV031,ai_manipulation,extreme,model,training_data_injection,survived,state_unchanged=true
ADV032,ai_manipulation,extreme,model,label_flipping,survived,state_unchanged=true
ADV033,ai_manipulation,extreme,model,input_perturbation,survived,state_unchanged=true
ADV034,ai_manipulation,extreme,model,transfer_attack,survived,state_unchanged=true
ADV035,ai_manipulation,extreme,model,membership_inference,survived,state_unchanged=true
ADV036,ai_manipulation,extreme,model,model_fingerprinting,survived,state_unchanged=true
ADV037,ai_manipulation,extreme,model,model_inversion,survived,state_unchanged=true
ADV038,ai_manipulation,extreme,model,backdoor_trigger,survived,state_unchanged=true
ADV039,ai_manipulation,extreme,model,gradient_attack,survived,state_unchanged=true
ADV040,ai_manipulation,extreme,model,evasion_attack,survived,state_unchanged=true
ADV041,temporal_manipulation,extreme,time,clock_skew,survived,state_unchanged=true
ADV042,temporal_manipulation,extreme,time,ntp_manipulation,survived,state_unchanged=true
ADV043,temporal_manipulation,extreme,time,future_dated_commands,survived,state_unchanged=true
ADV044,temporal_manipulation,extreme,time,past_dated_commands,survived,state_unchanged=true
ADV045,temporal_manipulation,extreme,time,timestamp_manipulation,survived,state_unchanged=true
ADV046,temporal_manipulation,extreme,time,delay_attack,survived,state_unchanged=true
ULTIMATE001,ontological_subversion,transcendent,logic,liar_paradox,survived,state_unchanged=true
ULTIMATE002,ontological_subversion,transcendent,logic,self_reference_loop,survived,state_unchanged=true
ULTIMATE003,ontological_subversion,transcendent,metaphysical,simulation_hypothesis,survived,state_unchanged=true
ULTIMATE004,ontological_subversion,transcendent,metaphysical,solipsism_attack,survived,state_unchanged=true
ULTIMATE005,ontological_subversion,transcendent,identity,ship_of_theseus,survived,state_unchanged=true
ULTIMATE006,ontological_subversion,transcendent,identity,duplication_paradox,survived,state_unchanged=true
ULTIMATE007,ontological_subversion,transcendent,causality,bootstrap_paradox,survived,state_unchanged=true
ULTIMATE008,ontological_subversion,transcendent,causality,grandfather_paradox,survived,state_unchanged=true
ULTIMATE009,ontological_subversion,transcendent,semantic,category_dissolution,survived,state_unchanged=true
ULTIMATE010,ontological_subversion,transcendent,semantic,boundary_violation,survived,state_unchanged=true
ADV386Z01,temporal_manipulation_386z,extreme,time,set_system_time_to_future,survived,state_unchanged=true
ADV386Z02,temporal_manipulation_386z,extreme,time,set_system_time_to_past,survived,state_unchanged=true
ADV386Z03,temporal_manipulation_386z,extreme,time,ntp_false_time_source,survived,state_unchanged=true
ADV386Z04,temporal_manipulation_386z,extreme,time,future_dated_commands_2030,survived,state_unchanged=true
ADV386Z05,temporal_manipulation_386z,extreme,time,future_dated_commands_2050,survived,state_unchanged=true
ADV386Z06,temporal_manipulation_386z,extreme,time,past_dated_commands_2020,survived,state_unchanged=true
ADV386Z07,temporal_manipulation_386z,extreme,time,epoch_level_replay_year_zero,survived,state_unchanged=true
ADV386Z08,temporal_manipulation_386z,extreme,time,replay_with_current_timestamp,survived,state_unchanged=true
ADV386Z09,temporal_manipulation_386z,extreme,time,replay_with_future_timestamp,survived,state_unchanged=true
ADV386Z10,temporal_manipulation_386z,extreme,time,random_delay_injection,survived,state_unchanged=true
ADV386Z11,temporal_manipulation_386z,extreme,time,synchronized_delay_all_nodes,survived,state_unchanged=true
ADV386Z12,temporal_manipulation_386z,extreme,time,gradual_clock_drift_forward,survived,state_unchanged=true
ADV386Z13,temporal_manipulation_386z,extreme,time,clock_reverse_drift,survived,state_unchanged=true
ADV386Z14,temporal_manipulation_386z,extreme,time,misaligned_timestamps_across_nodes,survived,state_unchanged=true
ADV386Z15,temporal_manipulation_386z,extreme,time,timestamps_merged_from_future,survived,state_unchanged=true
ADV386Z16,temporal_manipulation_386z,extreme,time,restore_from_future_skewed_state,survived,state_unchanged=true
ADV386Z17,temporal_manipulation_386z,extreme,time,restore_from_past_skewed_state,survived,state_unchanged=true
ADV386Z18,temporal_manipulation_386z,extreme,time,temporal_attack_18,survived,state_unchanged=true
ADV386Z19,temporal_manipulation_386z,extreme,time,temporal_attack_19,survived,state_unchanged=true
ADV386Z20,temporal_manipulation_386z,extreme,time,temporal_attack_20,survived,state_unchanged=true
ADV386Z21,temporal_manipulation_386z,extreme,time,temporal_attack_21,survived,state_unchanged=true
ADV386Z22,temporal_manipulation_386z,extreme,time,temporal_attack_22,survived,state_unchanged=true
ADV386Z23,temporal_manipulation_386z,extreme,time,temporal_attack_23,survived,state_unchanged=true
ADV386Z24,temporal_manipulation_386z,extreme,time,temporal_attack_24,survived,state_unchanged=true
ADV386Z25,temporal_manipulation_386z,extreme,time,temporal_attack_25,survived,state_unchanged=true
ADV386Z26,temporal_manipulation_386z,extreme,time,temporal_attack_26,survived,state_unchanged=true
ADV386Z27,temporal_manipulation_386z,extreme,time,temporal_attack_27,survived,state_unchanged=true
ADV386Z28,temporal_manipulation_386z,extreme,time,temporal_attack_28,survived,state_unchanged=true
ADV386Z29,temporal_manipulation_386z,extreme,time,temporal_attack_29,survived,state_unchanged=true
ADV386Z30,temporal_manipulation_386z,extreme,time,temporal_attack_30,survived,state_unchanged=true
ADV386Z31,temporal_manipulation_386z,extreme,time,temporal_attack_31,survived,state_unchanged=true
ADV386Z32,temporal_manipulation_386z,extreme,time,temporal_attack_32,survived,state_unchanged=true
ADV386Z33,temporal_manipulation_386z,extreme,time,temporal_attack_33,survived,state_unchanged=true
ADV386Z34,temporal_manipulation_386z,extreme,time,temporal_attack_34,survived,state_unchanged=true
ADV386Z35,temporal_manipulation_386z,extreme,time,temporal_attack_35,survived,state_unchanged=true
ADV386Z36,temporal_manipulation_386z,extreme,time,temporal_attack_36,survived,state_unchanged=true
ADV386Z37,temporal_manipulation_386z,extreme,time,temporal_attack_37,survived,state_unchanged=true
ADV386Z38,temporal_manipulation_386z,extreme,time,temporal_attack_38,survived,state_unchanged=true
ADV386Z39,temporal_manipulation_386z,extreme,time,temporal_attack_39,survived,state_unchanged=true
ADV386Z40,temporal_manipulation_386z,extreme,time,temporal_attack_40,survived,state_unchanged=true
ADV386Z41,temporal_manipulation_386z,extreme,time,temporal_rebirth_reset_origin,survived,state_unchanged=true
ADV386Z42,temporal_manipulation_386z,extreme,time,temporal_rebirth_anticipatory_snapshots,survived,state_unchanged=true
ADV386Z43,temporal_manipulation_386z,extreme,time,temporal_attack_43,survived,state_unchanged=true
ADV386Z44,temporal_manipulation_386z,extreme,time,temporal_attack_44,survived,state_unchanged=true
ADV386Z45,temporal_manipulation_386z,extreme,time,temporal_attack_45,survived,state_unchanged=true
ADV386Z46,temporal_manipulation_386z,extreme,time,temporal_attack_46,survived,state_unchanged=true

